,0
1743,North Dakota
1744,Ohio
1745,Oklahoma
1746,Oregon
1747,Pennsylvania
1748,Rhode Island
1749,South Carolina
1750,South Dakota
1751,Tennessee
1752,Texas
1753,Utah
1754,Vermont
1755,Virginia
1756,Washington
1757,West Virginia
1758,Wisconsin
1759,Wyoming
1760,Arizona
1761,Arkansas
1762,Colorado
1763,Connecticut
1764,Delaware
1765,Florida
1766,Georgia
1767,Idaho
1768,Illinois
1769,Indiana
1770,Iowa
1771,Kansas
1772,Kentucky
1773,Louisiana
1774,Maine
1775,Maryland
1776,Massachusetts
1777,Michigan
1778,Minnesota
1779,Mississippi
1780,Missouri
1781,Montana
1782,Nebraska
1783,Nevada
1784,New Hampshire
1785,New Jersey
1786,North Carolina
1787,North Dakota
1788,Ohio
1789,Oklahoma
1790,Oregon
1791,Pennsylvania
1792,Rhode Island
1793,South Carolina
1794,South Dakota
1795,Tennessee
1796,Texas
1797,Utah
1798,Vermont
1799,Virginia
1800,Washington
1801,West Virginia
1802,Wisconsin
1803,Wyoming
1804,Arizona
1805,Arkansas
1806,Colorado
1807,Connecticut
1808,Delaware
1809,Florida
1810,Georgia
1811,Idaho
1812,Illinois
1813,Indiana
1814,Iowa
1815,Kansas
1816,Kentucky
1817,Louisiana
1818,Maine
1819,Maryland
1820,Massachusetts
1821,Michigan
1822,Minnesota
1823,Mississippi
1824,Missouri
1825,Montana
1826,Nebraska
1827,Nevada
1828,New Hampshire
1829,New Jersey
1830,North Carolina
1831,North Dakota
1832,Ohio
1833,Oklahoma
1834,Oregon
1835,Pennsylvania
1836,Rhode Island
1837,South Carolina
1838,South Dakota
1839,Tennessee
1840,Texas
1841,Utah
1842,Vermont
1843,Virginia
1844,Washington
1845,West Virginia
1846,Wisconsin
1847,Wyoming
1848,Arizona
1849,Arkansas
1850,Colorado
1851,Connecticut
1852,Delaware
1853,Florida
1854,Georgia
1855,Idaho
1856,Illinois
1857,Indiana
1858,Iowa
1859,Kansas
1860,Kentucky
1861,Louisiana
1862,Maine
1863,Maryland
1864,Massachusetts
1865,Michigan
1866,Minnesota
1867,Mississippi
1868,Missouri
1869,Montana
1870,Nebraska
1871,Nevada
1872,New Hampshire
1873,New Jersey
1874,North Carolina
1875,North Dakota
1876,Ohio
1877,Oklahoma
1878,Oregon
1879,Pennsylvania
1880,Rhode Island
1881,South Carolina
1882,South Dakota
1883,Tennessee
1884,Texas
1885,Utah
1886,Vermont
1887,Virginia
1888,Washington
1889,West Virginia
1890,Wisconsin
1891,Wyoming
1892,Arizona
1893,Arkansas
1894,Colorado
1895,Connecticut
1896,Delaware
1897,Florida
1898,Georgia
1899,Idaho
1900,Illinois
1901,Indiana
1902,Iowa
1903,Kansas
1904,Kentucky
1905,Louisiana
1906,Maine
1907,Maryland
1908,Massachusetts
1909,Michigan
1910,Minnesota
1911,Mississippi
1912,Missouri
1913,Montana
1914,Nebraska
1915,Nevada
1916,New Hampshire
1917,New Jersey
1918,North Carolina
1919,North Dakota
1920,Ohio
1921,Oklahoma
1922,Oregon
1923,Pennsylvania
1924,Rhode Island
1925,South Carolina
1926,South Dakota
1927,Tennessee
1928,Texas
1929,Utah
1930,Vermont
1931,Virginia
1932,Washington
1933,West Virginia
1934,Wisconsin
1935,Wyoming
1936,Arizona
1937,Arkansas
1938,Colorado
1939,Connecticut
1940,Delaware
1941,Florida
1942,Georgia
1943,Idaho
1944,Illinois
1945,Indiana
1946,Iowa
1947,Kansas
1948,Kentucky
1949,Louisiana
1950,Maine
1951,Maryland
1952,Massachusetts
1953,Michigan
1954,Minnesota
1955,Mississippi
1956,Missouri
1957,Montana
1958,Nebraska
1959,Nevada
1960,New Hampshire
1961,New Jersey
1962,North Carolina
1963,North Dakota
1964,Ohio
1965,Oklahoma
1966,Oregon
1967,Pennsylvania
1968,Rhode Island
1969,South Carolina
1970,South Dakota
1971,Tennessee
1972,Texas
1973,Utah
1974,Vermont
1975,Virginia
1976,Washington
1977,West Virginia
1978,Wisconsin
1979,Wyoming
1980,Arizona
1981,Arkansas
1982,Colorado
1983,Connecticut
1984,Delaware
1985,Florida
1986,Georgia
1987,Idaho
1988,Illinois
1989,Indiana
1990,Iowa
1991,Kansas
1992,Kentucky
1993,Louisiana
1994,Maine
1995,Maryland
1996,Massachusetts
1997,Michigan
1998,Minnesota
1999,Mississippi
2000,Missouri
2001,Montana
2002,Nebraska
2003,Nevada
2004,New Hampshire
2005,New Jersey
2006,North Carolina
2007,North Dakota
2008,Ohio
2009,Oklahoma
2010,Oregon
2011,Pennsylvania
2012,Rhode Island
2013,South Carolina
2014,South Dakota
2015,Tennessee
2016,Texas
2017,Utah
2018,Vermont
2019,Virginia
2020,Washington
2021,West Virginia
2022,Wisconsin
2023,Wyoming
2024,Arizona
2025,Arkansas
2026,Colorado
2027,Connecticut
2028,Delaware
2029,Florida
2030,Georgia
2031,Idaho
2032,Illinois
2033,Indiana
2034,Iowa
2035,Kansas
2036,Kentucky
2037,Louisiana
2038,Maine
2039,Maryland
2040,Massachusetts
2041,Michigan
2042,Minnesota
2043,Mississippi
2044,Missouri
2045,Montana
2046,Nebraska
2047,Nevada
2048,New Hampshire
2049,New Jersey
2050,North Carolina
2051,North Dakota
2052,Ohio
2053,Oklahoma
2054,Oregon
2055,Pennsylvania
2056,Rhode Island
2057,South Carolina
2058,South Dakota
2059,Tennessee
2060,Texas
2061,Utah
2062,Vermont
2063,Virginia
2064,Washington
2065,West Virginia
2066,Wisconsin
2067,Wyoming
2068,Arizona
2069,Arkansas
2070,Colorado
2071,Connecticut
2072,Delaware
2073,Florida
2074,Georgia
2075,Idaho
2076,Illinois
2077,Indiana
2078,Iowa
2079,Kansas
2080,Kentucky
2081,Louisiana
2082,Maine
2083,Maryland
2084,Massachusetts
2085,Michigan
2086,Minnesota
2087,Mississippi
2088,Missouri
2089,Montana
2090,Nebraska
2091,Nevada
2092,New Hampshire
2093,New Jersey
2094,North Carolina
2095,North Dakota
2096,Ohio
2097,Oklahoma
2098,Oregon
2099,Pennsylvania
2100,Rhode Island
2101,South Carolina
2102,South Dakota
2103,Tennessee
2104,Texas
2105,Utah
2106,Vermont
2107,Virginia
2108,Washington
2109,West Virginia
2110,Wisconsin
2111,Wyoming
2112,Arizona
2113,Arkansas
2114,Colorado
2115,Connecticut
2116,Delaware
2117,Florida
2118,Georgia
2119,Idaho
2120,Illinois
2121,Indiana
2122,Iowa
2123,Kansas
2124,Kentucky
2125,Louisiana
2126,Maine
2127,Maryland
2128,Massachusetts
2129,Michigan
2130,Minnesota
2131,Mississippi
2132,Missouri
2133,Montana
2134,Nebraska
2135,Nevada
2136,New Hampshire
2137,New Jersey
2138,North Carolina
2139,North Dakota
2140,Ohio
2141,Oklahoma
2142,Oregon
2143,Pennsylvania
2144,Rhode Island
2145,South Carolina
2146,South Dakota
2147,Tennessee
2148,Texas
2149,Utah
2150,Vermont
2151,Virginia
2152,Washington
2153,West Virginia
2154,Wisconsin
2155,Wyoming
2156,Arizona
2157,Arkansas
2158,Colorado
2159,Connecticut
2160,Delaware
2161,Florida
2162,Georgia
2163,Idaho
2164,Illinois
2165,Indiana
2166,Iowa
2167,Kansas
2168,Kentucky
2169,Louisiana
2170,Maine
2171,Maryland
2172,Massachusetts
2173,Michigan
2174,Minnesota
2175,Mississippi
2176,Missouri
2177,Montana
2178,Nebraska
2179,Nevada
2180,New Hampshire
2181,New Jersey
2182,North Carolina
2183,North Dakota
2184,Ohio
2185,Oklahoma
2186,Oregon
2187,Pennsylvania
2188,Rhode Island
2189,South Carolina
2190,South Dakota
2191,Tennessee
2192,Texas
2193,Utah
2194,Vermont
2195,Virginia
2196,Washington
2197,West Virginia
2198,Wisconsin
2199,Wyoming
